company_name,isin_code,quarter,year,earnings_date,ticker
3M COMPANY,US88579Y1010,1,2010,2010-04-27,MMM
3M COMPANY,US88579Y1010,2,2010,2010-07-22,MMM
3M COMPANY,US88579Y1010,3,2010,2010-10-28,MMM
3M COMPANY,US88579Y1010,4,2010,2011-01-25,MMM
3M COMPANY,US88579Y1010,1,2011,2011-04-26,MMM
3M COMPANY,US88579Y1010,2,2011,2011-07-26,MMM
3M COMPANY,US88579Y1010,3,2011,2011-10-25,MMM
3M COMPANY,US88579Y1010,4,2011,2012-01-26,MMM
3M COMPANY,US88579Y1010,1,2012,2012-04-24,MMM
3M COMPANY,US88579Y1010,2,2012,2012-07-26,MMM
3M COMPANY,US88579Y1010,3,2012,2012-10-23,MMM
3M COMPANY,US88579Y1010,4,2012,2013-01-24,MMM
3M COMPANY,US88579Y1010,1,2013,2013-04-25,MMM
3M COMPANY,US88579Y1010,2,2013,2013-07-25,MMM
3M COMPANY,US88579Y1010,3,2013,2013-10-24,MMM
3M COMPANY,US88579Y1010,4,2013,2014-01-30,MMM
3M COMPANY,US88579Y1010,1,2014,2014-04-24,MMM
3M COMPANY,US88579Y1010,2,2014,2014-07-24,MMM
3M COMPANY,US88579Y1010,3,2014,2014-10-23,MMM
3M COMPANY,US88579Y1010,4,2014,2015-01-27,MMM
3M COMPANY,US88579Y1010,1,2015,2015-04-23,MMM
3M COMPANY,US88579Y1010,2,2015,2015-07-23,MMM
3M COMPANY,US88579Y1010,3,2015,2015-10-22,MMM
3M COMPANY,US88579Y1010,4,2015,2016-01-26,MMM
3M COMPANY,US88579Y1010,1,2016,2016-04-26,MMM
3M COMPANY,US88579Y1010,2,2016,2016-07-26,MMM
3M COMPANY,US88579Y1010,3,2016,2016-10-25,MMM
3M COMPANY,US88579Y1010,4,2016,2017-01-24,MMM
3M COMPANY,US88579Y1010,1,2017,2017-04-24,MMM
3M COMPANY,US88579Y1010,2,2017,2017-07-25,MMM
3M COMPANY,US88579Y1010,3,2017,2017-10-24,MMM
3M COMPANY,US88579Y1010,4,2017,2018-01-25,MMM
3M COMPANY,US88579Y1010,1,2018,2018-04-24,MMM
3M COMPANY,US88579Y1010,2,2018,2018-07-24,MMM
3M COMPANY,US88579Y1010,3,2018,2018-10-23,MMM
3M COMPANY,US88579Y1010,4,2018,2019-01-29,MMM
3M COMPANY,US88579Y1010,1,2019,2019-04-25,MMM
3M COMPANY,US88579Y1010,2,2019,2019-07-25,MMM
3M COMPANY,US88579Y1010,3,2019,2019-10-24,MMM
3M COMPANY,US88579Y1010,4,2019,2020-01-28,MMM
3M COMPANY,US88579Y1010,1,2020,2020-04-28,MMM
3M COMPANY,US88579Y1010,2,2020,2020-07-28,MMM
3M COMPANY,US88579Y1010,3,2020,2020-10-27,MMM
3M COMPANY,US88579Y1010,4,2020,2021-01-26,MMM
3M COMPANY,US88579Y1010,1,2021,2021-04-27,MMM
3M COMPANY,US88579Y1010,2,2021,2021-07-27,MMM
3M COMPANY,US88579Y1010,3,2021,2021-10-26,MMM
3M COMPANY,US88579Y1010,4,2021,2022-01-25,MMM
3M COMPANY,US88579Y1010,1,2022,2022-04-26,MMM
3M COMPANY,US88579Y1010,2,2022,2022-07-26,MMM
