ticker,earnings_date,pre_window_start,pre_window_end,post_window_start,post_window_end,has_full_pre_window,has_full_post_window
MMM,2010-04-27,2010-03-28,2010-04-26,2010-04-28,2010-05-27,True,True
MMM,2011-04-26,2011-03-27,2011-04-25,2011-04-27,2011-05-26,True,True
MMM,2012-04-24,2012-03-25,2012-04-23,2012-04-25,2012-05-24,True,True
MMM,2013-04-25,2013-03-26,2013-04-24,2013-04-26,2013-05-25,True,True
MMM,2014-04-24,2014-03-25,2014-04-23,2014-04-25,2014-05-24,True,True
MMM,2015-04-23,2015-03-24,2015-04-22,2015-04-24,2015-05-23,True,True
MMM,2016-04-26,2016-03-27,2016-04-25,2016-04-27,2016-05-26,True,True
MMM,2017-04-24,2017-03-25,2017-04-23,2017-04-25,2017-05-24,True,True
MMM,2018-04-24,2018-03-25,2018-04-23,2018-04-25,2018-05-24,True,True
MMM,2019-04-25,2019-03-26,2019-04-24,2019-04-26,2019-05-25,True,True
MMM,2020-04-28,2020-03-29,2020-04-27,2020-04-29,2020-05-28,True,True
MMM,2021-04-27,2021-03-28,2021-04-26,2021-04-28,2021-05-27,True,True
MMM,2022-04-26,2022-03-27,2022-04-25,2022-04-27,2022-05-26,True,True
MMM,2023-04-25,2023-03-26,2023-04-24,2023-04-26,2023-05-25,True,True
MMM,2024-04-30,2024-03-31,2024-04-29,2024-05-01,2024-05-30,True,True
MMM,2010-07-22,2010-06-22,2010-07-21,2010-07-23,2010-08-21,True,True
MMM,2011-07-26,2011-06-26,2011-07-25,2011-07-27,2011-08-25,True,True
MMM,2012-07-26,2012-06-26,2012-07-25,2012-07-27,2012-08-25,True,True
MMM,2013-07-25,2013-06-25,2013-07-24,2013-07-26,2013-08-24,True,True
MMM,2014-07-24,2014-06-24,2014-07-23,2014-07-25,2014-08-23,True,True
