date,count,mean,std,rmse
2020-03-31,329,-0.01157,0.111592,0.112022
2020-06-30,333,0.027982,0.10069,0.10436
2020-09-30,336,-0.025995,0.068125,0.072822
2020-12-31,333,0.035031,0.126452,0.131031
2021-03-31,332,0.022692,0.088403,0.09114
2021-06-30,339,0.013836,0.070592,0.071833
2021-09-30,337,0.002845,0.055313,0.055304
2021-12-31,335,-0.014188,0.068197,0.069557
2022-03-31,335,0.012429,0.08374,0.084534
2022-06-30,337,0.005149,0.06926,0.069349
2022-09-30,341,0.011246,0.066667,0.067512
2022-12-31,337,0.015553,0.077249,0.078687
2023-03-31,336,-0.012032,0.057163,0.058332
2023-06-30,340,-0.031128,0.065427,0.072367
2023-09-30,339,-0.008967,0.055239,0.055882
2023-12-31,337,0.005621,0.07079,0.070909
2024-03-31,335,-0.004014,0.053615,0.053685
2024-06-30,340,-0.017818,0.067898,0.0701
2024-09-30,341,-0.00059,0.057308,0.057227
2024-12-31,341,0.003403,0.081973,0.081923
2025-03-31,307,0.022834,0.084541,0.087437
